text,label
Da bac si loi ich cua viec uong mot ly nuoc am vao moi buio sang/toi a em cam on bac si,faq
Chao bac si a lam the nao de tang can lanh mahn hiue qua nhat tai nha a !,faq
Bac si tu van giup em tre em duoi 6 tuoi uon aspirin lieu bao nhieu la an toan dup em voi a,medical
Em muon hoi la cap cuu gap nguoi bi co giat tron mat sui bot mep dot ngot ngat xiu tim tai toan than giup em voi a,emergency
Bác sĩ cho em hỏi chút ạ tác dụng phụ của metformin khi dùng chung với aspirin là gì nhé bác sĩ,medical
Da bac si cho em hoi lam sao de bao ve nao bo va he than kinh khi lam viec van phong nhieu xin cam on bac si,faq
Cho em hỏi tí ạ cơ chế tác động của asprin trong điều trị sưng khớp do gút là gì ạ xin cảm ơn,medical
"Thua bac si khan cap benh nhan duoi nuoc dang ngung tho, co can ho hap nhan tao khong",emergency
Chào bác sĩ ạ làm thế nào để hạ mỡ máu tự nhiên hiệu quả nhất tại nhà ạ xin cảm ơn,faq
Dự báo thời tiết hôm nay tại Hà Nội thế nào giúp em,out-of-scope
Alo bác sĩ làm thế nào để tạo slide thuyết trình bằng Photoshop ạ?,out-of-scope
Mọi người cho em hỏi Khẩn cấp! Trẻ bị hóc hạt nhãn dị vật đường thở tắc nghẽn hoàn toàn đang tím tái môi không thở được ạ cảm ơn bác sĩ,emergency
Cho hỏi tìm hiểu về khảo cổ học Ai Cập cổ đại trong lịch sử/khoa học ạ,out-of-scope
Cho hỏi cấp cứu gấp người bị dị vật đường thở tắc hoàn toàn đột ngột ngất xỉu tím tái toàn thân xin cảm ơn bác sĩ,emergency
Da thua bac si lam the nao de chup anh phong canh bang Premiere Pro a em cam on bac si,out-of-scope
Bac si oi cho em hoi chatbot co the thay the bac si kham benh hoan toan duoc khong,faq
Cho hỏi tìm hiểu về hệ mặt trời và các hành tinh trong lịch sử/khoa học giúp em với ạ,out-of-scope
Cho em hỏi tí ạ làm thế nào để thải độc cơ thể hiệu quả nhất tại nhà ạ,faq
Cho hỏi tôi uống metformin hạ đường huyết quá liều thì nên xử lý thế nào,medical
Alo bác sĩ dùng asprin chống đông máu kéo dài có gây suy gan hay suy thận không nhé bác sĩ,medical
"Dạ bác sĩ cho em hỏi con uống nhầm thuốc diệt cỏ paraquat sùi bọt mép, cứu mạng với ạ em cảm ơn bác sĩ",emergency
Alo bác sĩ lợi ích của việc giãn cơ thư giãn vào mỗi buổi sáng/tối ạ?,faq
Bac si oi cap cuu gap nguoi bi bong nagn toan thna do no binh gas dot nogt ngat xiu tim tai toan than,emergency
Em muon hoi la thuoc thouc ha sot paracetamol duoc chi dinh de dieu chi dau bun nhe bac si,medical
Cho hoi Tho kho khe nhe co dom o co hong sau khi ngu day a em cam on,medical
Bac si oi giup em voi cach viet code python dep thu hut nhieu luot tuong tac nhe bac si,out-of-scope
"Da thua bac si tai nan xe may lam nan nhan bi nuot nham acid chay mau o at, lam sao cam mau",emergency
Cho em hỏi tí ạ cách tạo slide thuyết trình đẹp thu hút nhiều lượt tưnơg tác với ạ,out-of-scope
Chao bac si a lam the nao de thiet ke do hoa bang Premiere Pdo a em cam on bac si,out-of-scope
Những thói quen tốt giúp nâng cao tuổi thọ cơ thể ạ em cảm ơn,faq
Thưa bác sĩ ăn gì hoặc kiêng gì để tăng cường thể lực tốt nhất ạ,faq
"Dạ bác sĩ cho em hỏi Người nhà đột ngột bị té ngã bất tỉnh, co giật toàn thân trợn mắt sùi bọt mép ạ !",emergency
Alo bác sĩ dự báo thời tiết hôm nay tại Thành phố Hồ Chí Minh thế nào ạ !,out-of-scope
Bac si oi toi bi chong mat thi co nen uong aspi khong a xin cam on nhieu,medical
Tác dnụg của tnih bột nghệ đối với sức kheỏ là gì với ạ,faq
Hướng dẫn các bước sửa vòi nước bị rò rỉ tại nà chi tiết ạ em cảm ơn bác sĩ,out-of-scope
Dạ bác sĩ liều lượng uống panadol cho người bị đau đầu nư thế nào nha bác sĩ,medical
Bac si tu van giup em tac dung cua an rau xanh qua mong doi voi suc khoe la gi giup em voi a,faq
Thua bac si toi muon dau tu vao vang vat chta thi nen bat dau tu dau a cam on bac si,out-of-scope
Dạ bác sĩ bị dị vật đườn thở tắc hoàn toàn nghẹt thở ho sặc sụa trợn mắt lên thì sơ cứu thế nào nhé bác sĩ,emergency
Bac si tu van giup em bi dot quy dau nguc du doi nhu da de meo mieng te liet nua nguoi goi cap cuu chua thay toi phai lam gi sin cam on bac si,emergency
Bác sĩ ơi làm thế nào để giảm cân an toàn hiệu quả nhất tại nhà ạ cảm ơn bác sĩ,faq
"Da thua bac si khan cap benh nhan bong nang toan than do no binh gas dang ngung tho, co can ho hap nhan tao khong a xin cam on",emergency
Bác sĩ tư vấn giúp em thuốc met được chỉ định để điều trị đau bụng nha bác sĩ,medical
Bác sĩ ơi viết hộ tôi một bài thơ về tình cảm gia đình cha mẹ hay và ý nghĩa nhe bác sĩ,out-of-scope
"Moi nguoi cho em hoi tai nan xe may lam nan nhan bi gay xuong dui dam thung da chay mau o at, lam sao cam mau nhe bac si",emergency
Alo bac si lam the nao de viet code python bang Photoshop a cam on bac si,out-of-scope
"Cho em hỏi bị dị vật đường thở tắc hoàn toàn kèm co giật liên hồi nguy kịch quá, phải sơ cứu sao",emergency
Loi ich cua viec ngu du 8 tieng vao moi buoi sang/toi nhe bac si,faq
Da cho em hoi du bao thoi tiet hom nay tai Nha Trang the nao giup em voi a,out-of-scope
Bac si oi lam the nao de cham soc da mun hieu qua nhat tai nha xin cam on bac si,faq
Dạ thưa bác sĩ ăn gì hoặc kiêng gì để chăm sóc da mụn tốt nhất nhé bác sĩ,faq
"Bac si cho em hoi chut a kahn cap benh nhan di vat duong tho tac hoan toan dagn ngung tho, co can ho hap nhan tao khon a !",emergency
Bác sĩ ơi giúp em với dùng ibuf kéo dài có gây suy gan hay suy thận không na bác sĩ,medical
Chào bác sĩ ạ tìm hiểu về hệ mặt trời và các hành tinh trong lịch sử/khoa học ạ xin cảm ơn nhiều,out-of-scope
Da thau bac si chatbot co the thya the bac si kham benh hoan toan duoc khong nha bac si,faq
Da cho em hoi du bao thoi tiet hom nay tai Nha Trang the nao,out-of-scope
Bac si oi viet ho toi mot bai tho ve tinh ieu doi lua hay va y nia a !,out-of-scope
Bac si oi lam sao de bao ve nao bo va he than kinh khi lam viec van phong nhieu a cam on bac si,faq
Bac si cho em hoi chut a lam the nao de giam stress cang thang hieu qua nhat tai nha nha,faq
Em chao bac si a chi giup toi cong thuc nau lau thai chua cay ngon chuan vi voi giup em,out-of-scope
Bác sĩ tư vấn giúp em dự báo thời tiết hôm nay tại Đà Lạt thế nào nha bác sĩ,out-of-scope
Cho em hỏi tí ạ tìm hiểu về cuộc chiến tranh thế giới thứ hai trong lịch sử/khoa học nhé bác sĩ,out-of-scope
Bác sĩ cho em hỏi chtú ạ làm sao để bảo vệ xươgn khớp toàn thân khi làm việc văn phòng nhiều ạ cảm ơn bác sĩ,faq
"Chào bác sĩ ạ bị gãy xương đùi đâm thủng da kèm tím tái môi và đầu nógn tay nguy kịhc quá, phải sơ cứu sao ạ !",emergency
Bac si tu van giup em luu y quan trong nhat khi su dugn thuoc giam dau para la gi a !,medical
Bac si oi cho em hoi thuoc thuoc tiue duong metfodmin co tunog tac voi cac loai thuoc dieu tri duong huyet cao khong nhe bac si,medical
"Thưa bác sĩ bị đuối nước kèm tím tái môi và đầu ngón tay nguy kịch quá, phải sơ cứu sao ạ em cảm ơn",emergency
Cho em hoi ti a bi dot quy duoi nuoc meo mieng te liet nua nguoi goi cap cuu chua thay toi phai lam gi a cam on bac si,emergency
Alo bac si an gi hoac kieng gi de tang cuong tri nho tot nhat a xin cam on nhieu,faq
Huong dan cac buoc cai dat lai he dieu hanh Windows tai nha chi tite a em cam on,out-of-scope
Dạ thưa bác sĩ chỉ giúp tôi công thức làm kim chi Hàn Quốc ngon chuẩn vị với ạ?,out-of-scope
Huong dan cac buoc cai dat lai he dieu hanh Windows tai nha chi tiet nhe bac si,out-of-scope
Bác sĩ giải đáp giúp em làm thế nào để giảm đau mỏi vai gáy hiệu quả nhất tại nhà ạ em cảm ơn bác sĩ,faq
"Da thua bac si Nguoi benh dot ngot tuc nguc o at, tay chan lanh toat va ngat lim di khong tinh tao nhe bac si",emergency
Cho hoi Toi hay bi dau nhoi nhe long nguc vung tim khi hit tho sau hoac thay doi tu the a em cam on,medical
Cho hỏi người nhà bị đột quỵ não liệt hoàn toàn nửa người đang rất nguy cấp cứu với ạ em cảm ơn,emergency
Chao bac si a loi ich cua viec gian co thu gian vao moi buoi sang/toi a xin cam on nhieu,faq
Moi nguoi cho em hoi huong dan cac buoc sua xe may bi ngap nuoc tai nha chi tiet a xin cam on,out-of-scope
Dạ bác sĩ tôi bị đau bụng thì có nên uống thuốc hạ sốt paracetamol không giúp em,medical
Mọi người cho em hỏi hướng dẫn các bước cài đặt lại hệ điều hành Windows tại nhà chi tiết ạ !,out-of-scope
"Bác sĩ ơi giúp em với khẩn cấp bệnh nhân bỏng nặng toàn thân do nổ bình gas đang ngừng thở, có cần hô hấp nhân tạo không ạ?",emergency
Bác sĩ tư vấn giúp em lưu ý quan trọng nhất khi sử dụng thuốc kháng viêm ibuprofen là gì ạ cảm ơn bác sĩ,medical
"Bac si giai dap giup em con uong nham dau hoa sui bot mep, cuu mang voi a !",emergency
Em muon hoi la loi ich cua viec gian co thu gian vao moi buoi sang/toi nhe bac si,faq
Alo bác sĩ những thói quen tốt giúp nâng cao sức khỏe tinh thần ạ cảm ơn bác sĩ,faq
Tim hieu ve su phat trien cua AI the ky 21 trong lich su/khoa hoc nhe bac si,out-of-scope
Cho em hoi ti a huno dan cac buoc cai dat lai he dieu hanh Windows tai nha chi tiet a cam on bac si,out-of-scope
Chao bac si a Cap cuu! Con dau that bop nghet long nguc lan da ham va sau lung kem kho tho du doi a !,emergency
Chào bác sĩ ạ ăn gì hoặc kiêng gì để giúp da dẻ mịn màng tốt nhất ạ?,faq
"Moi nguio cho em hoi khan cap benh nhan di vat duong tho tac hoan toan dang ngung tho, co can ho hap nhan tao khong xin cam on bac si",emergency
Bac si cho em hoi chut a lam sao de bao ve mat va cot song co khi lam viec van phong nhieu nha,faq
Em muon hoi la bi duoi nuoc nghet tho ho sac sua tron mat len thi so cuu the nao a em cam on,emergency
Bác sĩ ơi giúp em với thuốc ibu có tưnơg tác với các loại thuốc điều trị gotu không giúp em,medical
Mọi người cho em hỏi ăn gì hoặc kiêng gì để giảm schess cnăg thẳn tốt nất xin cảm ơn bác sĩ,faq
Moi nguoi cho em hoi lam the nao de giam stress cang thang hieu qua nat tai nha a em cam on bac si,faq
Mọi người cho em hỏi người nà bị phản vệ độ nặng sau tiêm thuốc đang dất nguy hiểm tíhn mạn cứu với ạ xin cảm ơn,emergency
Chào bác sĩ ạ bện nhnâ ha cao có cần kiêng khem gì khi uống thốuc amos không ạ cảm ơn bác sĩ,medical
Alo bác sĩ làm thế nào để tăng sự tập trung hiệu quả nhất tại nhà ạ?,faq
Bác sĩ giải đáp giúp em Bị bong gân nhẹ cổ chân gây sưng tấy đau nhức khi vận động mạnh ạ em cảm ơn bác sĩ,medical
Moi nguoi cho em hoi cap cuu gap nguoi bi nuot nham acid dot ngot ngat xiu tim tai toan than nhe bac si,emergency
Em muốn hỏi là hướng dẫn các bước cài đặt lại hệ điều hành Windwos tại nhà chi tiết ạ cảm ơn bác sĩ,out-of-scope
Bac si tu van giup em lam the nao de chinh sua video nan bang Canva a xin cam on,out-of-scope
Bac si cho em hoi chut a tai sao dung thuoc ha sot paracetamol lai gay buon ngu hoac chong mat nha bac si,medical
