raw_query,optimized_query
"Em chào bác sĩ ạ khẩn cấp bện nhân đau nực dữ dội như đá đè đang ngừng thở, có cần hô hấp nhân tạo khôn ạ cảm ơn bác sĩ","Em chào bác sĩ ạ khẩn cấp bệnh nhân đau ngực dữ dội như đá đè đang ngừng thở, có cần hô hấp nhân tạo không ạ cảm ơn bác sĩ"
"Da bac si cho em hoi con uong nham thuoc ngu lieu luong cuc lon sui bot mep, cuu mang voi nhe bac si","Dạ bác sĩ cho em hỏi con uống nhầm thuốc ngủ liều lượng cực lớn sùi bọt mép, cứu mạng với nhé bác sĩ"
Mọi người cho em hỏi sự khác biệt dữa khán sin amoxicillin và thuốc tiuể đườgn metformin trong chữa trị đau đầu nhé bác sĩ,Mọi người cho em hỏi sự khác biệt giữa amoxicillin và metformin trong chữa trị đau đầu nhé bác sĩ
Bac si giai dap giup em bi dot quy duoi nouc meo mieng te liet nua nguoi goi cap cuu chua thay toi phai lam gi a cam on bac si,Bác sĩ giải đáp giúp em bị đột quỵ đuối nước méo miệng tê liệt nửa người gọi cấp cứu chưa thấy tới phải làm gì ạ cảm ơn bác sĩ
Dạ bác sĩ cho em hỏi trẻ em dưới 6 tuổi uống met liều bao nhiêu là an toàn nhe bác sĩ,Dạ bác sĩ cho em hỏi trẻ em dưới 6 tuổi uống metformin liều bao nhiêu là an toàn nhe bác sĩ
Em muốn hỏi là phụ nữ có thai có được sử dụng metfor để chữa mất ngủ ạ em cảm ơn,Em muốn hỏi là phụ nữ có thai có được sử dụng metformin để chữa mất ngủ ạ em cảm ơn
Em chào bác sĩ ạ thuốc paracetamol có tương tác với các loại thuốc điều trị mỡ máu không ạ,Em chào bác sĩ ạ thuốc paracetamol có tương tác với các loại thuốc điều trị rối loạn lipid máu không ạ
Bac si oi cho em hoi bi dot quy di vat duong tho tac hoan toan meo mieng te liet nua nguoi goi cap cuu chua thay toi phai lam gi the a,Bác sĩ ơi cho em hỏi bị đột quỵ dị vật đường thở tắc hoàn toàn méo miệng tê liệt nửa người gọi cấp cứu chưa thấy tới phải làm gì thế ạ
Em muốn hỏi là phụ nữ có thai có được sử dụng aspi để chữa đau đầu với ạ,Em muốn hỏi là phụ nữ có thai có được sử dụng aspirin để chữa đau đầu với ạ
Da cho em hoi nhung thoi quen tot giup nang cao he mien dich a,Dạ cho em hỏi những thói quen tốt giúp nâng cao hệ miễn dịch ạ
Bac si oi cho em hoi lieu luong uong paxetamol cho nguoi bi dau dau nhu the nao nhe bac si,Bác sĩ ơi cho em hỏi liều lượng uống paracetamol cho người bị đau đầu như thế nào nhe bác sĩ
Thouc gima dau khang viem ibu co tuong tac voi cac loai thuoc dieu tri gout khong xin cam on bac si,Thuốc ibuprofen có tương tác với các loại thuốc điều trị gout không xin cảm ơn bác sĩ
Bác sĩ cho em hỏi chút ạ thuốc thuốc tim mạch aspirin được chỉ định để điều trị đau đầu thế ạ,Bác sĩ cho em hỏi chút ạ thuốc aspirin được chỉ định để điều trị đau đầu thế ạ
Bác sĩ tư vấn giúp em tại sao dùng pana lại gây buồn ngủ hoặc chóng mặt xin cảm ơn bác sĩ,Bác sĩ tư vấn giúp em tại sao dùng paracetamol lại gây buồn ngủ hoặc chóng mặt xin cảm ơn bác sĩ
Da thua bac si phu nu co thai co duoc su dung asprin chong dnog mau de chau sot a em cam on,Dạ thưa bác sĩ phụ nữ có thai có được sử dụng aspirin để chữa sốt ạ em cảm ơn
Bác sĩ ơi cho em hỏi chẻ em dưới 6 tuổi uống thuốc giảm đau pada liều bao nhiêu là an toàn ạ em cảm ơn bác sĩ,Bác sĩ ơi cho em hỏi trẻ em dưới 6 tuổi uống paracetamol liều bao nhiêu là an toàn ạ em cảm ơn bác sĩ
Bac si giai dap giup em phu nu co thai co duoc su dung ibu de chua mat ngu a em cam on bac si,Bác sĩ giải đáp giúp em phụ nữ có thai có được sử dụng ibuprofen để chữa mất ngủ ạ em cảm ơn bác sĩ
Da thua bac si an gi hoac kieng gi de giam stress cang thang tot nhat a,Dạ thưa bác sĩ ăn gì hoặc kiêng gì để giảm stress căng thẳng tốt nhất ạ
Bác sĩ cho em hỏi chút ạ tác dụng của quế và gừng đối với sức kỏhe là gì nhe bác sĩ,Bác sĩ cho em hỏi chút ạ tác dụng của quế và gừng đối với sức khỏe là gì nhe bác sĩ
Bac si giai dap giup em bi gay xuong dui dam thung da nghet tho ho sac sua tron mat len thi so cuu the nao a em cam on,Bác sĩ giải đáp giúp em bị gãy xương đùi đâm thủng da nghẹt thở ho sặc sụa trợn mắt lên thì sơ cứu thế nào ạ em cảm ơn
Bác sĩ giải đáp giúp em tại sao dùng pcm lại gây buồn ngủ hoặc chóng mặt với ạ,Bác sĩ giải đáp giúp em tại sao dùng paracetamol lại gây buồn ngủ hoặc chóng mặt với ạ
Bac si oi cho em hoi tac dung cua an rau xanh qua mong doi voi suc khoe la gi voi a,Bác sĩ ơi cho em hỏi tác dụng của ăn rau xanh quả mọng đối với sức khỏe là gì với ạ
Cap cuu gap nguio bi chan thuon so nao mau chay nieu dot nogt nat siu tim tai toan than voi a,Cấp cứu gấp người bị chấn thương sọ não máu chảy nhiều đột ngột ngất xỉu tím tái toàn thân với ạ
Thua bac si cap cuu gap nuoi bi doui nuoc dot ngot ngat xiu tim tai toan thna a sin cam on,Thưa bác sĩ cấp cứu gấp người bị đuối nước đột ngột ngất xỉu tím tái toàn thân ạ xin cảm ơn
"Da cho em hoi tai nan se may lam nan nhan bi nuot nham acid chay mau o at, lam sao cam mau a","Dạ cho em hỏi tai nạn xe máy làm nạn nhân bị nuốt nhầm acid chảy máu ồ ạt, làm sao cầm máu ạ"
Bác sĩ ơi giúp em với thời điểm uống aspi tốt nhất trong ngày là lúc nào ạ em cảm ơn bác sĩ,Bác sĩ ơi giúp em với thời điểm uống aspirin tốt nhất trong ngày là lúc nào ạ em cảm ơn bác sĩ
Bác sĩ ơi dùn aspi kéo dài có gây suy gan hay suy thnậ khôn nha,Bác sĩ ơi dùng aspirin kéo dài có gây suy gan hay suy thận không nha
"Em chào bác sĩ ạ khẩn cấp bệnh nân phản vệ độ nnặg sau tiêm thuốc đang ngừng tởh, có cần hô hấp nhân tạo không dúp em","Em chào bác sĩ ạ khẩn cấp bệnh nhân phản vệ độ nặng sau tiêm thuốc đang ngừng thở, có cần hô hấp nhân tạo không giúp em"
Em chào bác sĩ ạ phụ nữ có thai có được sử dụn amoc để chữa đau đầu ạ,Em chào bác sĩ ạ phụ nữ có thai có được sử dụng amoxicillin để chữa đau đầu ạ
Da thua bac si chatbot co the thay the bac si khma benh hoan toan duoc khong a em cam on,Dạ thưa bác sĩ chatbot có thể thay thế bác sĩ khám bệnh hoàn toàn được không ạ em cảm ơn
Cho em hoi ti a co che tac dong cua klamentin trong dieu tri benh hen suyen la gi nha,Cho em hỏi tí ạ cơ chế tác động của amoxicillin trong điều trị hen phế quản là gì nha
Bác sĩ ơi giúp em với thuốc met được chỉ định để điều trị chóng mặt xin cảm ơn bác sĩ,Bác sĩ ơi giúp em với thuốc metformin được chỉ định để điều trị chóng mặt xin cảm ơn bác sĩ
Bác sĩ ơi Cấp cứu tai nạn lao độn bị đứt độn mạch cánh tay máu phun thành tia xối sả làm sao cầm máu khẩn cấp ạ,Bác sĩ ơi Cấp cứu tai nạn lao động bị đứt động mạch cánh tay máu phun thành tia xối xả làm sao cầm máu khẩn cấp ạ
Bác sĩ giải đáp giúp em tác dụn của uống nhiều nước lọc đối với sức khỏe là gì ạ em cảm ơn,Bác sĩ giải đáp giúp em tác dụng của uống nhiều nước lọc đối với sức khỏe là gì ạ em cảm ơn
Bác sĩ tư vấn giúp em tôi uống amoc quá liều thì nên xử lý thế nào ạ xin cảm ơn,Bác sĩ tư vấn giúp em tôi uống amoxicillin quá liều thì nên xử lý thế nào ạ xin cảm ơn
Em chao bac si a toi bi sot thi co nen uong thuoc khang viem ibuprofen khong sin cam on bac si,Em chào bác sĩ ạ tôi bị sốt thì có nên uống ibuprofen không xin cảm ơn bác sĩ
Da cho em hoi chatbot y te nay co nhung tinh nang gi vay nha bac si,Dạ cho em hỏi chatbot y tế này có những tính năng gì vậy nha bác sĩ
Bác sĩ ơi cấp cứu gấp người bị gãy xương đùi đâm thủng da đột ngột nất xỉu tím tái tàon thân ạ?,Bác sĩ ơi cấp cứu gấp người bị gãy xương đùi đâm thủng da đột ngột ngất xỉu tím tái toàn thân ạ?
Da thua bac si luu y quan trong nhat khi su dung amoxi la gi giup em voi a,Dạ thưa bác sĩ lưu ý quan trọng nhất khi sử dụng amoxicillin là gì giúp em với ạ
Bác sĩ cho em hỏi chút ạ ăn gì hoặc kiêng gì để cải thiện dấc ngủ ngon tốt nhtấ nha,Bác sĩ cho em hỏi chút ạ ăn gì hoặc kiêng gì để cải thiện giấc ngủ ngon tốt nhất nha
Bac si giai dap giup em tac dung cua tinh bot nghe doi voi suc khoe la gi a xin cam on,Bác sĩ giải đáp giúp em tác dụng của tinh bột nghệ đối với sức khỏe là gì ạ xin cảm ơn
Em muon hoi la phu nu co thai co duoc su dung thuoc khang viem ibuprofen de chua chong mat xin cam on bac si,Em muốn hỏi là phụ nữ có thai có được sử dụng ibuprofen để chữa chóng mặt xin cảm ơn bác sĩ
Thua bac si lieu luong uong thuoc khang viem ibuprofen cho nguoi bi mat ngu nhu the nao nha,Thưa bác sĩ liều lượng uống ibuprofen cho người bị mất ngủ như thế nào nha
